Gasage (yr BP) ,CO2 (ppmv)
507312.40,236.00
506483.73,235.50
505684.24,233.90
504911.78,234.10
504177.19,232.20
503418.93,232.00
502637.64,231.20
501861.42,230.80
501083.96,228.20
500304.78,230.80
499526.78,230.60
498737.42,232.80
497965.98,236.50
497187.63,236.40
496444.07,237.60
495725.69,238.50
495024.13,238.30
494300.39,239.10
493593.11,239.70
492863.78,243.70
492154.55,246.70
491451.08,243.30
490733.95,242.60
490494.91,249.30
490026.29,252.80
489719.79,240.90
489302.09,242.00
488565.45,237.10
487848.07,231.30
487129.25,232.90
486398.67,233.00
485667.52,231.20
484936.18,231.40
484179.79,231.40
483395.38,227.30
482580.96,223.40
481662.96,223.80
480726.68,218.80
480328.30,220.80
479775.69,231.30
479402.95,236.50
478892.46,239.10
477941.00,236.60
476949.80,232.80
475925.20,233.10
474974.11,241.20
474092.36,245.60
473800.85,243.90
473217.82,243.70
472863.27,232.70
472263.07,229.20
471824.53,218.70
471200.79,215.50
470725.98,206.50
470040.13,205.50
468877.71,203.40
467706.64,204.40
466632.30,208.10
465601.73,210.00
465265.36,205.20
464599.47,199.90
463526.65,194.40
462414.10,190.70
461286.06,195.50
460252.21,202.40
459211.55,208.30
458794.01,203.30
458208.29,204.30
457745.13,199.10
457114.44,192.50
456001.61,193.30
454864.31,198.40
453775.64,201.90
452735.84,204.90
451747.28,201.20
450642.89,201.70
449571.04,208.10
448459.18,203.50
447219.18,201.10
445331.73,199.10
443844.65,202.00
442230.78,201.30
440659.58,201.70
439063.42,200.30
437485.42,207.50
435939.69,209.80
434379.07,207.60
433850.30,211.50
432179.31,227.20
431023.76,219.70
429178.36,242.50
428840.20,248.20
427941.40,252.10
427154.96,255.30
426621.56,265.40
426237.27,270.00
425740.91,270.80
425132.26,268.30
424507.75,267.70
423225.50,270.60
422532.65,266.40
421912.15,268.60
420701.76,273.80
420133.76,271.20
419575.78,273.70
418505.30,274.60
417956.78,271.80
417440.44,273.40
416425.32,271.70
415945.61,276.40
415179.59,271.60
414210.86,264.90
413258.65,274.90
411347.97,283.50
410453.80,282.60
409598.24,274.70
408818.72,284.50
407282.50,285.60
406542.80,279.60
405062.63,280.50
404313.30,276.50
402859.84,275.70
402140.92,283.10
400710.08,283.20
399926.16,277.10
398275.13,276.30
394906.10,260.70
394003.69,273.60
392977.15,259.50
392287.25,258.10
389410.21,245.80
387824.82,246.80
386283.71,239.10
384557.45,240.00
382931.49,227.00
378760.24,229.60
377034.88,224.60
375204.60,214.70
373457.62,199.90
371385.87,201.90
368065.90,206.30
365190.23,201.20
362567.60,185.80
360683.84,186.10
359010.38,193.00
355817.77,209.20
354412.98,209.40
353174.60,216.20
351676.35,221.10
349139.09,220.30
347544.81,211.90
346320.91,204.80
345000.85,205.20
343923.59,200.70
342791.56,250.10
340735.08,234.20
339983.89,239.60
338991.44,241.90
338213.50,255.70
337516.67,270.50
336867.82,278.60
336377.54,285.80
335707.51,278.10
335102.31,298.60
334543.89,288.40
334349.50,289.10
333997.56,282.40
333500.09,273.10
332798.62,272.60
332144.12,271.70
331293.55,265.00
330053.33,275.10
329414.29,271.90
328770.75,270.10
328086.81,266.10
327435.84,264.00
326591.09,266.20
325823.00,260.50
325007.41,260.30
324166.92,260.40
323383.35,257.20
321817.45,249.20
320916.34,255.80
319829.66,233.40
318852.60,245.20
317932.55,251.60
317149.87,272.60
316450.72,246.80
315657.52,257.10
314836.21,256.70
314051.85,251.60
313343.13,241.90
312593.43,239.00
311670.03,237.80
310776.10,233.20
310010.98,226.20
309423.73,227.80
308325.70,225.80
307463.27,244.80
306581.12,248.60
305778.15,250.20
305099.81,240.70
304100.92,240.20
303116.00,236.00
302084.19,239.00
301025.62,236.10
300115.87,231.00
299376.28,224.40
298704.62,217.10
296828.87,213.10
295364.23,212.70
294455.29,206.70
293650.74,206.00
292818.31,207.60
291562.87,217.10
290863.79,220.40
290184.50,234.90
288286.43,231.00
287820.05,230.40
287443.86,231.40
286609.96,226.40
285931.32,228.00
284434.68,231.30
282592.89,223.70
281400.74,215.30
280558.95,211.00
279619.05,204.50
278590.91,202.20
277443.00,193.20
276257.72,198.40
275154.64,194.10
274164.08,193.90
273165.83,190.40
272149.64,184.70
271036.04,198.80
269940.47,194.20
268995.50,187.20
268257.83,188.70
267007.00,211.70
266134.45,199.90
264583.76,228.10
262817.10,214.60
262054.58,208.90
261293.92,205.70
260894.24,209.60
259396.90,203.90
257908.07,204.00
257060.59,201.90
256298.66,199.00
254587.11,195.40
253756.68,196.70
252953.72,195.40
252132.26,213.90
251390.57,200.20
249099.87,214.70
246870.49,219.40
246188.81,230.40
245564.00,236.70
245057.01,249.90
244582.34,252.30
244121.77,263.70
243138.52,280.20
242685.46,279.00
241855.40,263.20
241333.05,259.70
240190.37,252.80
239738.66,247.40
239387.04,245.80
239008.26,245.60
238425.34,239.10
237905.53,243.10
237391.66,247.40
236850.80,241.40
236426.01,252.10
235990.86,245.20
232856.06,241.60
232191.77,233.90
231129.66,232.40
229572.05,224.50
228766.99,233.10
228439.42,234.50
227719.98,235.50
226849.84,215.70
226259.83,203.30
224271.51,205.60
223129.04,208.80
222539.58,207.10
221697.46,216.10
220935.62,214.10
219067.61,240.50
218200.79,245.30
217694.96,251.10
217415.64,251.70
216864.97,247.50
216306.15,242.60
215912.34,240.30
215080.75,241.40
214158.81,251.20
213330.35,243.40
212533.08,257.40
212078.75,239.50
211577.84,246.90
211058.47,252.00
210832.07,247.20
210175.17,243.90
209966.09,244.60
209445.04,242.20
209082.26,240.50
208821.57,230.00
208274.53,237.20
208108.78,238.10
207622.89,231.40
207240.30,229.40
206896.85,226.30
206359.94,228.60
205944.58,232.20
205575.76,231.90
205203.28,244.40
203842.00,247.60
202744.50,239.10
201752.00,250.90
198938.00,242.60
198327.45,241.20
197587.35,226.40
195799.50,220.00
195126.50,226.50
193074.50,218.00
191964.08,220.30
191254.50,231.40
189806.50,231.30
188437.00,210.70
186411.00,203.40
184371.00,199.70
183258.00,198.10
182196.00,217.70
181302.00,213.20
179873.00,207.70
177729.50,190.10
177533.93,189.40
176853.00,190.30
175833.35,196.00
174442.00,197.70
171939.00,197.80
169514.40,196.60
168745.50,183.80
167914.10,186.70
166784.00,190.10
166143.00,191.60
164334.65,196.50
163858.00,204.30
160155.00,187.50
159716.00,185.50
158666.00,189.00
156306.82,189.38
154889.13,196.30
153774.66,198.78
151444.85,202.35
150594.88,202.51
149466.15,201.78
148233.47,195.81
146108.24,193.59
144799.59,196.02
143651.30,194.59
142360.56,196.51
139949.97,192.75
138834.30,198.55
137763.42,199.18
136565.55,203.74
134522.28,212.43
133775.81,222.74
132931.96,224.63
132709.88,228.00
131976.24,232.28
131322.20,241.13
130818.36,250.84
130373.03,251.84
129655.64,260.61
129078.04,268.44
128878.00,271.08
128466.73,285.76
128172.67,280.72
128024.48,276.03
127503.55,276.88
127313.83,275.78
126962.03,274.93
126699.91,273.02
126013.70,275.15
125292.63,276.81
124817.45,275.52
124404.52,281.54
123959.48,275.87
123630.91,274.60
123013.95,279.16
122292.36,279.00
122100.00,278.25
121841.97,276.61
121426.02,279.48
120542.91,276.82
120144.12,268.73
119715.50,274.59
119242.52,267.74
118658.27,277.72
117619.36,274.98
117185.55,274.03
116475.58,273.63
115908.58,273.16
115446.67,276.96
114815.39,275.07
114250.00,267.90
113678.64,260.58
113119.27,264.75
112941.73,263.12
112636.06,256.79
111876.80,257.93
110555.36,246.69
109839.97,244.13
109129.42,244.44
108401.91,236.43
106974.82,240.34
106368.25,244.83
106256.38,241.40
105989.87,257.58
105507.15,248.78
104966.45,242.36
104331.23,238.88
104274.33,247.76
103308.74,240.68
102764.78,237.07
101971.89,240.07
101325.68,244.76
100543.18,247.87
100076.85,245.63
99361.42,242.99
98583.72,243.18
97927.46,239.86
97270.89,242.35
96474.88,245.76
95921.48,246.20
95234.11,242.91
94568.55,242.41
93823.21,238.21
93424.71,235.16
92667.82,232.46
91949.74,233.74
91445.03,231.12
90834.02,231.56
90317.29,229.74
89696.26,228.88
89244.72,227.38
88701.05,223.99
88136.18,217.80
87581.18,223.63
87027.64,221.06
86498.32,223.38
85890.69,228.76
85367.47,234.69
84936.77,238.42
84357.44,243.16
83940.90,250.79
83554.11,247.10
82988.26,246.32
82526.72,240.87
82068.79,238.89
81711.43,234.13
81206.94,230.33
80721.79,233.92
80330.36,230.60
79877.76,234.74
79410.36,229.26
78969.54,227.30
78507.95,224.14
78080.75,226.65
77615.92,224.92
77056.48,231.68
76696.74,238.01
76247.47,239.34
75850.65,249.94
75545.13,249.52
75067.95,243.27
74525.65,241.24
74221.48,231.33
73750.96,232.74
73219.32,230.89
72866.04,232.33
72490.15,232.79
72092.81,239.46
71693.65,237.56
71279.17,235.02
70928.87,225.17
70427.26,220.33
70052.16,215.55
69592.02,211.26
69081.53,205.42
68619.99,203.43
68146.19,200.17
67729.68,203.76
67314.59,201.14
66959.71,207.21
66439.31,204.39
65937.23,200.59
65764.51,198.17
65546.45,208.98
65046.72,199.17
64867.42,201.67
64657.29,203.70
64113.78,199.73
63896.88,197.24
63555.79,197.40
62960.90,200.15
62774.57,202.71
62552.01,202.56
61900.72,206.38
61554.11,210.90
61234.84,210.57
61060.88,207.95
60817.62,213.78
60516.63,217.25
60373.06,212.87
60109.88,216.66
59733.47,223.45
59380.41,226.35
59105.07,231.29
58433.32,223.15
58217.01,224.35
57843.72,223.72
57476.27,217.38
57210.94,215.70
56503.58,212.44
56237.13,207.67
55909.54,210.27
55553.13,214.78
55293.46,208.19
55014.49,216.86
54694.61,213.89
54387.13,217.96
54156.60,220.37
53806.25,221.14
53400.45,223.26
53108.25,223.72
52800.74,221.15
52573.68,220.72
52384.78,219.08
52086.82,213.82
51779.53,215.08
51431.45,211.57
51029.17,207.64
50527.41,207.41
50220.55,206.74
50006.51,204.38
49728.32,203.87
49462.66,204.06
49302.98,200.12
48987.95,201.58
48427.86,200.98
48223.18,206.18
47943.75,205.66
47710.39,203.79
47524.36,204.26
47314.98,207.60
47086.28,210.27
46887.94,210.84
46746.44,214.18
46635.90,216.42
46308.55,218.35
46181.26,219.25
46057.33,221.77
45877.11,222.72
45696.06,217.51
45460.32,214.50
45280.39,213.92
45142.02,207.95
44996.16,211.49
44816.01,210.44
44655.54,212.29
44490.50,204.83
44350.47,206.22
44204.45,202.00
44095.20,204.31
43809.01,201.69
43661.16,203.18
43515.82,204.22
43350.66,201.66
43171.89,203.16
42968.08,204.26
42849.87,206.35
42628.30,204.83
42315.82,200.90
41900.69,199.89
41759.21,201.12
41605.97,205.49
41303.59,204.19
41167.90,201.53
40907.39,200.97
40754.30,200.47
40553.44,201.48
40485.95,201.32
40308.40,197.90
40145.30,193.69
40112.10,193.08
40042.70,192.60
39900.50,197.55
39885.00,193.87
39757.10,193.58
39709.20,196.67
39621.00,195.70
39515.40,200.40
39454.40,198.14
39402.90,191.53
39379.40,204.78
39339.80,207.87
39319.90,209.33
39303.20,209.50
39265.70,208.69
39120.50,207.32
39053.60,204.28
38976.80,202.34
38955.60,205.99
38874.70,205.65
38812.60,206.09
38723.40,206.54
38670.80,204.46
38621.80,204.79
38573.60,208.23
38533.20,210.08
38472.90,207.23
38412.80,210.79
38359.20,208.00
38284.20,207.41
38192.40,206.52
38165.60,208.34
38088.50,214.36
38000.30,211.21
37895.00,214.21
37777.20,212.09
37647.50,212.14
37618.60,214.30
37461.30,209.84
37431.00,212.51
37338.10,206.59
37302.00,209.66
37296.50,208.25
37143.20,207.35
37118.60,210.16
37023.40,206.36
36939.80,203.51
36820.20,202.76
36712.80,203.75
36669.60,203.77
36591.80,205.10
36506.30,198.96
36261.80,200.09
36173.10,201.78
36086.50,204.12
35948.30,198.80
35854.60,203.29
35701.60,200.50
35672.50,201.81
35568.00,201.83
35530.70,201.89
35508.50,202.04
35497.10,201.06
35445.80,200.30
35383.00,201.36
35359.40,203.62
35337.00,204.47
35281.70,205.38
35165.80,203.60
35089.60,198.78
34866.80,203.09
34825.60,202.80
34710.60,197.16
34647.80,198.89
34620.00,200.29
34602.60,199.49
34556.90,199.65
34334.40,196.20
34312.80,196.27
34250.80,195.79
34190.30,194.89
34064.20,195.93
33991.50,195.41
33957.00,196.47
33925.90,194.47
33907.50,194.46
33885.70,195.27
33841.00,195.63
33758.10,200.03
33555.30,197.80
33491.40,197.13
33417.50,196.90
33148.30,197.65
33009.00,196.33
32880.90,196.70
32813.10,199.30
32714.10,195.94
32677.80,195.08
32594.60,194.43
32511.10,194.61
32434.80,194.11
32361.20,195.25
32307.90,192.47
32150.60,196.91
32147.50,196.42
32079.60,193.91
32026.90,193.33
31933.90,192.51
31818.40,192.93
31792.10,193.71
31524.10,189.95
31356.40,188.48
31105.20,188.00
30775.70,190.33
30713.00,187.14
30528.80,182.94
30400.50,184.30
30312.70,185.99
30277.90,186.52
30181.70,188.48
30101.50,188.25
29999.00,191.57
29952.10,191.38
29837.80,190.97
29742.80,191.28
29681.20,189.77
29609.20,189.24
29410.20,189.21
29366.10,189.83
29323.90,191.01
29249.60,192.39
29205.30,188.10
29150.70,192.26
29008.90,192.87
28948.60,193.26
28902.70,192.69
28841.90,193.89
28724.30,193.80
28626.40,192.82
28577.40,193.10
28426.90,189.65
28413.90,189.16
28369.70,192.63
28271.60,191.59
28214.10,191.82
28097.30,189.96
27973.20,189.29
27927.10,188.99
27885.00,189.28
27866.40,190.58
27820.70,187.59
27718.60,189.30
27714.10,190.61
27687.00,192.71
27661.30,191.46
27586.40,191.95
27549.70,191.53
27502.80,191.23
27441.90,191.95
27280.10,190.06
27170.20,194.93
27084.80,186.27
27042.00,187.39
26954.90,188.08
26857.80,186.43
26703.70,185.44
26537.10,185.51
26460.70,186.01
26315.00,183.77
26254.50,184.57
26016.00,184.52
25786.00,186.54
25543.60,183.38
25351.10,182.66
25163.60,180.69
24643.60,180.57
24269.80,186.73
24077.70,184.68
23873.80,183.13
23600.50,187.99
23445.20,186.78
23358.40,193.53
23276.70,197.67
23185.00,188.60
23107.30,190.08
23013.80,190.53
22994.00,189.40
22833.60,186.13
22749.30,190.01
22650.80,188.49
22604.10,185.21
22550.10,184.68
22347.60,187.02
22292.20,187.22
22230.89,191.27
22055.59,187.38
21913.63,190.78
21790.59,187.96
21562.85,185.23
21345.18,187.24
21212.70,190.05
21067.69,188.40
20964.43,190.87
20828.39,192.66
20666.49,187.76
20536.80,193.93
20407.60,189.99
20213.31,190.47
20018.70,193.72
19883.88,196.06
19791.19,193.60
19629.49,191.42
19568.15,188.95
19442.73,191.52
19282.16,191.58
19152.79,191.09
18993.82,192.71
18866.91,188.50
18835.15,188.44
18803.64,192.97
18747.05,191.27
18677.40,193.90
18582.94,188.57
18519.99,187.67
18486.59,187.09
18457.83,187.45
18422.43,188.47
18391.16,188.21
18360.35,188.73
18324.39,187.12
18295.81,189.03
18264.68,188.52
18232.18,188.88
18201.79,185.65
18173.16,189.01
18139.76,184.88
18110.63,188.59
18081.60,188.64
18050.09,187.73
18024.45,187.79
17992.04,188.96
17965.83,188.66
17935.99,188.54
17907.16,191.72
17881.00,190.26
17854.60,189.52
17825.43,191.21
17797.57,187.25
17769.71,191.70
17743.75,190.41
17717.05,189.52
17691.21,191.52
17665.06,194.38
17637.88,193.21
17612.00,195.79
17586.25,196.96
17561.46,192.62
17534.59,192.37
17510.87,191.59
17485.29,191.48
17460.99,193.00
17434.97,190.76
17410.03,191.89
17385.30,193.02
17360.50,190.50
17311.87,194.65
17287.90,195.88
17236.25,198.29
17163.70,198.63
17091.85,202.10
16994.77,204.32
16928.83,202.93
16869.32,205.19
16797.55,205.53
16733.53,210.25
16655.88,213.15
16590.01,208.46
16553.51,208.65
16509.93,207.95
16472.03,213.94
16458.38,217.19
16431.32,211.79
16410.71,212.95
16391.89,209.51
16374.89,211.21
16354.23,214.83
16337.25,212.43
16317.43,214.60
16296.96,212.84
16278.74,214.22
16260.73,218.56
16240.56,220.49
16222.96,223.24
16208.71,227.32
16187.46,221.49
16166.71,226.19
16151.21,224.86
16114.14,222.41
16083.00,224.24
16033.78,224.48
16014.67,222.39
15998.98,224.41
15995.49,223.72
15936.52,223.77
15920.25,223.51
15844.95,222.36
15767.68,224.86
15704.79,222.16
15649.43,222.76
15546.40,223.53
15462.93,223.27
15410.08,224.74
15382.85,225.39
15345.24,228.92
15320.94,227.64
15280.74,225.77
15243.44,228.27
15218.88,230.18
15181.11,227.84
15156.52,228.81
15133.53,229.67
15095.81,234.47
15072.53,228.99
15034.78,225.38
15011.48,228.37
14987.26,227.65
14976.48,229.79
14953.66,228.89
14929.02,228.47
14915.91,228.36
14904.21,228.72
14892.46,230.63
14880.66,227.85
14869.18,232.22
14857.53,233.17
14844.77,227.87
14834.75,228.40
14822.39,226.51
14810.61,227.58
14799.14,228.50
14787.83,227.79
14776.28,227.39
14763.41,224.64
14758.52,227.90
14743.19,231.48
14730.88,234.54
14718.12,230.53
14706.96,228.18
14696.69,228.91
14686.37,237.49
14675.12,234.34
14664.09,233.42
14652.26,234.62
14645.20,238.12
14629.99,240.10
14619.39,237.97
14606.21,237.59
14595.47,235.31
14586.19,237.97
14575.93,239.77
14563.52,239.86
14552.93,241.73
14541.66,235.83
14531.30,243.17
14520.85,241.14
14497.21,242.06
14463.58,238.61
14443.28,240.95
14422.23,242.60
14410.60,242.55
14374.99,240.33
14354.48,238.39
14343.16,242.08
14308.61,235.80
14298.72,239.04
14273.02,240.21
14237.45,236.60
14205.56,238.36
14179.55,239.36
14156.60,239.24
14120.06,236.40
14084.47,232.88
14060.09,241.27
14022.86,237.87
14001.79,235.92
13940.23,240.57
13871.57,237.95
13827.20,239.08
13758.73,241.11
13712.83,241.59
13645.35,238.55
13600.81,243.86
13531.75,235.83
13486.74,240.25
13418.10,237.83
13304.15,236.86
13266.97,240.42
13216.20,239.41
13172.67,236.91
13128.45,234.82
13088.22,241.56
13066.59,237.91
13043.69,238.86
13021.92,234.68
13001.06,239.42
12980.88,237.15
12959.75,240.71
12939.23,238.18
12917.11,238.79
12893.38,239.44
12873.98,241.24
12852.71,239.35
12830.15,242.15
12809.27,242.23
12785.63,241.50
12762.58,240.02
12739.91,247.30
12719.80,241.59
12697.14,244.24
12673.90,242.53
12653.64,243.95
12629.85,246.94
12607.64,248.09
12586.60,247.02
12564.62,244.27
12543.72,249.92
12521.35,246.74
12495.84,244.42
12475.39,246.18
12454.82,245.83
12431.93,247.67
12409.38,246.40
12388.31,243.00
12365.28,244.31
12343.12,246.97
12321.28,250.73
12301.04,248.92
12280.77,249.38
12256.48,248.95
12232.92,249.23
12211.34,249.65
12190.41,250.97
12168.48,251.42
12146.50,251.14
12124.58,253.02
12105.25,255.66
12079.85,251.03
12058.80,253.10
12037.32,248.41
12015.90,247.85
11990.69,255.39
11969.55,253.99
11948.09,248.92
11926.96,258.57
11904.91,255.90
11883.17,251.56
11863.12,253.63
11843.33,254.31
11820.50,257.17
11802.79,258.53
11780.72,258.25
11759.21,258.74
11740.65,255.89
11719.72,256.04
11701.44,253.99
11682.82,254.62
11664.54,247.55
11647.92,257.13
11628.97,266.22
11611.31,261.30
11592.24,260.70
11576.41,267.09
11559.61,262.74
11543.60,266.90
11523.93,269.51
11507.23,267.66
11490.45,267.17
11472.80,269.10
