Age,temp,Anomoly
1736.397,217.3,-0.08999999999997499
1753.243,217.5,0.11000000000001364
1769.379,218.0,0.6100000000000136
1785.877,216.0,-1.3899999999999864
1802.735,217.7,0.3100000000000023
1820.513,216.4,-0.9899999999999807
1837.917,216.4,-0.9899999999999807
1854.906,217.8,0.410000000000025
1871.526,216.4,-0.9899999999999807
1888.512,219.2,1.8100000000000023
1905.122,217.4,0.010000000000019327
1921.089,217.4,0.010000000000019327
1936.711,217.0,-0.38999999999998636
1953.737,217.6,0.21000000000000796
1970.831,217.1,-0.28999999999999204
1987.929,216.7,-0.6899999999999977
2005.404,216.4,-0.9899999999999807
2023.194,217.4,0.010000000000019327
2041.366,216.5,-0.8899999999999864
2058.349,219.1,1.710000000000008
2075.403,216.7,-0.6899999999999977
