Age,Temperature
Deuterium,Temperature
,
,
,
,
,
,
,
,
,
,
,
,
-400.2,-1.14
-388.5,0.79
-390.4,0.47
-405.5,-2.03
-399.5,-1.04
-402.1,-1.47
-402.2,-1.49
-395.2,-0.34
-391.6,0.26
-396.5,-0.56
-399.5,-1.06
-400.6,-1.24
-401.6,-1.41
-400.6,-1.25
-406.3,-2.19
-398.3,-0.87
-411.7,-3.09
-399.8,-1.13
-396.9,-0.65
-401.4,-1.40
-405.3,-2.04
-408.3,-2.54
-406.5,-2.25
-400.8,-1.31
-403.2,-1.71
-397.5,-0.77
-401,-1.35
-401.5,-1.43
-400.4,-1.26
-400.3,-1.24
-407.3,-2.40
-403,-1.69
-404.2,-1.89
-401.2,-1.40
-397.2,-0.74
-396.9,-0.70
-397.8,-0.85
-409.5,-2.79
-397.1,-0.74
-390.3,0.38
-397.5,-0.81
-401.9,-1.54
-392.4,0.02
-399.9,-1.22
-399.3,-1.13
-396.7,-0.70
-402.1,-1.60
-401.8,-1.55
-397.5,-0.84
-400.2,-1.29
-395,-0.44
-404.4,-2.00
-402.1,-1.62
-397.9,-0.93
-393.4,-0.19
-397.7,-0.90
-397.4,-0.86
-397.4,-0.86
-399,-1.13
-391.8,0.05
-392.7,-0.10
-401.1,-1.49
-396.1,-0.67
-397.7,-0.94
-395.6,-0.59
-398.6,-1.09
-394.9,-0.49
-394.9,-0.49
-407.4,-2.56
-403.4,-1.90
-392.2,-0.06
-400.4,-1.42
-391.1,0.11
-388.5,0.54
-394.8,-0.51
-397.7,-0.99
-401.2,-1.57
-391.9,-0.04
-393.3,-0.28
-394.3,-0.45
-395,-0.57
-392.4,-0.14
-393.5,-0.33
-390,0.24
0.36,
-388.5,0.48
-394.3,-0.48
-403.6,-2.02
-393.3,-0.33
-398,-1.11
-391,0.04
-395.8,-0.75
-386.4,0.79
-391.8,-0.10
-398.2,-1.16
-391.6,-0.08
-393.4,-0.38
-384.4,1.11
-391.3,-0.04
-391,0.01
-388.3,0.45
-391.4,-0.07
-382.9,1.33
-387.2,0.62
-405.5,-2.40
-391.7,-0.13
-392.1,-0.20
-400.4,-1.57
-386.7,0.68
-394.5,-0.61
-389.9,0.15
-394.7,-0.65
-396.6,-0.97
-388.6,0.35
-392.9,-0.36
-395.2,-0.75
-389.1,0.26
-388.7,0.32
-391.8,-0.20
-388.8,0.29
-397.7,-1.18
-390.4,0.02
-382.1,1.39
-387.9,0.43
-390.6,-0.02
-393.3,-0.47
-388.1,0.38
-391.6,-0.20
-396.9,-1.08
-398.7,-1.38
-386.6,0.61
-390.7,-0.07
-391.2,-0.15
-389.5,0.12
-400.9,-1.76
-388.6,0.26
-397.9,-1.27
-393,-0.47
-394.4,-0.71
-399.4,-1.53
-388.2,0.31
-386.8,0.53
-383,1.16
-387.5,0.41
-390.1,-0.02
-377.1,2.12
-397.4,-1.23
-390.6,-0.12
-393.2,-0.55
-395.2,-0.88
