 Gasage  (yr  BP)   , CO2  (ppmv) , Location 
 70.04941602000008 , 287.7707291897673 , Law  Dome  (Rubino  et  al.,  2013) 
 73.09478323000008 , 289.3281310647417 , Law  Dome  (Rubino  et  al.,  2013) 
 76.2620196800001 , 291.5581974658393 , Law  Dome  (Rubino  et  al.,  2013) 
 77.17362217000004 , 286.6550967370638 , Law  Dome  (Rubino  et  al.,  2013) 
 79.95531419999998 , 286.32578146070443 , Law  Dome  (Rubino  et  al.,  2013) 
 80.3438782799999 , 287.9864944292303 , Law  Dome  (Rubino  et  al.,  2013) 
 81.58508690999997 , 289.53614491302415 , Law  Dome  (Rubino  et  al.,  2013) 
 82.26960000000008 , 287.9922513016967 , Law  Dome  (Rubino  et  al.,  2013) 
 83.25611204999996 , 285.05229227816864 , Law  Dome  (Rubino  et  al.,  2013) 
 85.87161822999997 , 286.65415816058197 , Law  Dome  (Rubino  et  al.,  2013) 
 87.02144425999995 , 285.3533187571561 , Law  Dome  (Rubino  et  al.,  2013) 
 88.16551931000004 , 287.17456217295097 , Law  Dome  (Rubino  et  al.,  2013) 
 91.15595858000006 , 286.6330756116753 , Law  Dome  (Rubino  et  al.,  2013) 
 93.3796722699999 , 283.16210074754474 , Law  Dome  (Rubino  et  al.,  2013) 
 95.28161881999995 , 285.56557722684016 , Law  Dome  (Rubino  et  al.,  2013) 
 96.29172496000001 , 288.05443747992655 , Law  Dome  (Rubino  et  al.,  2013) 
 98.89435269 , 285.4658308627274 , Law  Dome  (Rubino  et  al.,  2013) 
 99.173 , 288.7903954001126 , Law  Dome  (Rubino  et  al.,  2013) 
 99.73761839999997 , 284.00163402345765 , Law  Dome  (Rubino  et  al.,  2013) 
 102.67820000000006 , 286.839237474432 , Law  Dome  (Rubino  et  al.,  2013) 
 104.09510939000006 , 283.6198856894272 , Law  Dome  (Rubino  et  al.,  2013) 
 105.34534607 , 283.1828720355646 , Law  Dome  (Rubino  et  al.,  2013) 
 105.53888998000002 , 283.5311237194569 , Law  Dome  (Rubino  et  al.,  2013) 
 106.70678711000005 , 281.58148260537183 , Law  Dome  (Rubino  et  al.,  2013) 
 109.17184283000006 , 283.6545457229947 , Law  Dome  (Rubino  et  al.,  2013) 
 113.2998 , 284.151983964357 , Law  Dome  (Rubino  et  al.,  2013) 
